rank,construct_family,domain,atomic_signal_count,status
1,learning_agility_signals,Adaptive Intelligence,120,unreachable_from_bank
2,self_regulation_signals,Executive Function Intelligence,120,unreachable_from_bank
3,followthrough_signals,Behavioral Intelligence,120,unreachable_from_bank
4,problem_solving_signals,Cognitive Intelligence,80,unreachable_from_bank
5,attention_control_signals,Cognitive Intelligence,80,unreachable_from_bank
6,adaptability_under_pressure_signals,Adaptive Intelligence,80,unreachable_from_bank
7,communication_alignment_signals,Collaboration Intelligence,80,unreachable_from_bank
8,emotional_regulation_signals,Emotional Intelligence,80,unreachable_from_bank
9,professional_identity_signals,Career Intelligence,80,unreachable_from_bank
10,emotional_stability_signals,Emotional Intelligence,80,unreachable_from_bank
11,consistency_signals,Behavioral Intelligence,80,unreachable_from_bank
12,uncertainty_navigation_signals,Adaptive Intelligence,80,unreachable_from_bank
13,accountability_signals,Behavioral Intelligence,80,unreachable_from_bank
14,adaptive_decision_signals,Adaptive Intelligence,80,unreachable_from_bank
15,stress_reactivity_signals,Performance Intelligence,80,unreachable_from_bank
16,judgment_signals,Cognitive Intelligence,80,unreachable_from_bank
17,prioritization_signals,Cognitive Intelligence,80,unreachable_from_bank
18,emotional_recovery_signals,Emotional Intelligence,80,unreachable_from_bank
19,burnout_recovery_signals,Resilience Intelligence,80,unreachable_from_bank
20,physical_wellbeing_signals,Wellbeing Intelligence,60,unreachable_from_bank
21,mental_wellbeing_signals,Wellbeing Intelligence,60,unreachable_from_bank
22,identity_resilience_signals,Identity Intelligence,55,unreachable_from_bank
23,cognitive_stability_signals,Cognitive Intelligence,44,unreachable_from_bank
24,emotional_expression_signals,Social Intelligence,40,unreachable_from_bank
25,interaction_quality_signals,Social Intelligence,40,unreachable_from_bank
26,multitasking_signals,Executive Function Intelligence,40,unreachable_from_bank
27,focus_under_pressure_signals,Performance Intelligence,40,unreachable_from_bank
28,reasoning_signals,Cognitive Intelligence,40,unreachable_from_bank
29,relationship_trust_signals,Social Intelligence,40,unreachable_from_bank
30,workflow_management_signals,Executive Function Intelligence,40,unreachable_from_bank
31,uncertainty_handling_signals,Decision Intelligence,40,unreachable_from_bank
32,trustworthiness_signals,Ethical & Integrity Intelligence,40,unreachable_from_bank
33,innovation_execution_signals,Creativity Intelligence,40,unreachable_from_bank
34,guilt_sensitivity_signals,Emotional Intelligence,40,unreachable_from_bank
35,consistency_under_pressure_signals,Performance Intelligence,40,unreachable_from_bank
36,exploration_drive_signals,Creativity Intelligence,40,unreachable_from_bank
37,self_soothing_signals,Emotional Intelligence,40,unreachable_from_bank
38,artistic_expression_signals,Creativity Intelligence,40,unreachable_from_bank
39,social_responsibility_signals,Ethical & Integrity Intelligence,40,unreachable_from_bank
40,leadership_presence_signals,Leadership Intelligence,40,unreachable_from_bank
41,self_worth_signals,Identity Intelligence,40,unreachable_from_bank
42,withdrawal_signals,Behavioral Intelligence,40,unreachable_from_bank
43,shame_signals,Emotional Intelligence,40,unreachable_from_bank
44,workplace_ethics_signals,Employability Intelligence,40,unreachable_from_bank
45,articulation_signals,Communication Intelligence,40,unreachable_from_bank
46,self_respect_signals,Identity Intelligence,40,unreachable_from_bank
47,self_activation_signals,Motivational Intelligence,40,unreachable_from_bank
48,group_discussion_signals,Communication Intelligence,40,unreachable_from_bank
49,cognitive_resilience_signals,Cognitive Intelligence,40,unreachable_from_bank
50,recovery_signals,Resilience Intelligence,40,unreachable_from_bank
51,innovation_signals,Creativity Intelligence,40,unreachable_from_bank
52,creative_confidence_signals,Creativity Intelligence,40,unreachable_from_bank
53,listening_signals,Communication Intelligence,40,unreachable_from_bank
54,avoidance_signals,Behavioral Intelligence,40,unreachable_from_bank
55,relapse_risk_signals,Resilience Intelligence,40,unreachable_from_bank
56,group_participation_signals,Social Intelligence,40,unreachable_from_bank
57,health_awareness_signals,Wellbeing Intelligence,40,unreachable_from_bank
58,execution_signals,Behavioral Intelligence,40,unreachable_from_bank
59,hopelessness_signals,Emotional Intelligence,40,unreachable_from_bank
60,adaptive_ideation_signals,Creativity Intelligence,40,unreachable_from_bank
61,self_definition_signals,Identity Intelligence,40,unreachable_from_bank
62,emotional_dependency_signals,Emotional Intelligence,40,unreachable_from_bank
63,flexibility_signals,Adaptive Intelligence,40,unreachable_from_bank
64,strategic_decision_signals,Decision Intelligence,40,unreachable_from_bank
65,decision_signals,Cognitive Intelligence,40,unreachable_from_bank
66,empathy_in_collaboration_signals,Collaboration Intelligence,40,unreachable_from_bank
67,discipline_signals,Behavioral Intelligence,40,unreachable_from_bank
68,learning_focus_signals,Learning Intelligence,40,unreachable_from_bank
69,emotional_fatigue_signals,Emotional Intelligence,40,unreachable_from_bank
70,confidence_decision_signals,Decision Intelligence,40,unreachable_from_bank
71,dependency_balance_signals,Collaboration Intelligence,40,unreachable_from_bank
72,sleep_health_signals,Wellbeing Intelligence,40,unreachable_from_bank
73,achievement_orientation_signals,Motivational Intelligence,40,unreachable_from_bank
74,confusion_signals,Cognitive Intelligence,40,unreachable_from_bank
75,resilience_stability_signals,Resilience Intelligence,40,unreachable_from_bank
76,delegation_signals,Leadership Intelligence,40,unreachable_from_bank
77,originality_signals,Creativity Intelligence,40,unreachable_from_bank
78,collaborative_learning_signals,Learning Intelligence,40,unreachable_from_bank
79,high_stakes_decision_signals,Performance Intelligence,40,unreachable_from_bank
80,accountability_in_team_signals,Collaboration Intelligence,40,unreachable_from_bank
81,commitment_signals,Decision Intelligence,40,unreachable_from_bank
82,social_adaptation_signals,Social Intelligence,40,unreachable_from_bank
83,transparency_signals,Ethical & Integrity Intelligence,40,unreachable_from_bank
84,behavioral_shift_signals,Adaptive Intelligence,40,unreachable_from_bank
85,change_acceptance_signals,Adaptive Intelligence,40,unreachable_from_bank
86,peer_support_signals,Collaboration Intelligence,40,unreachable_from_bank
87,recovery_adaptation_signals,Adaptive Intelligence,40,unreachable_from_bank
88,belonging_signals,Social Intelligence,40,unreachable_from_bank
89,relaxation_signals,Wellbeing Intelligence,40,unreachable_from_bank
90,adaptive_confidence_signals,Adaptive Intelligence,40,unreachable_from_bank
91,practical_learning_signals,Learning Intelligence,40,unreachable_from_bank
92,adaptability_signals,Adaptive Intelligence,40,unreachable_from_bank
93,perfectionism_signals,Performance Intelligence,40,unreachable_from_bank
94,conflict_management_signals,Collaboration Intelligence,40,unreachable_from_bank
95,dependency_decision_signals,Decision Intelligence,40,unreachable_from_bank
96,situational_adjustment_signals,Adaptive Intelligence,40,unreachable_from_bank
97,interview_performance_signals,Performance Intelligence,40,unreachable_from_bank
98,participation_balance_signals,Collaboration Intelligence,40,unreachable_from_bank
99,nonverbal_communication_signals,Communication Intelligence,40,unreachable_from_bank
100,imagination_signals,Creativity Intelligence,40,unreachable_from_bank
