bridge_tag,concern_count,missing_layers,signal_count,question_count,behavior_cov_pct,archetype_cov_pct,intervention_cov_pct,recommendation_present
BEHAVIORAL_STABILITY,2,6,0,50,100,0,0,0
LIFESTYLE_ADJUSTMENT,1,6,0,40,100,0,0,0
STUDENT_SUPPORT,1,6,0,40,100,0,0,0
INNOVATION_ENTREPRENEURSHIP,1,6,0,25,100,0,0,0
HIGHER_EDUCATION,1,6,0,25,100,0,0,0
PERSONALITY_CAREER,1,6,0,25,100,0,0,0
GROWTH_MINDSET,1,6,0,50,100,0,0,0
PRODUCTIVITY_COACHING,1,6,0,40,100,0,0,0
LIFE_READINESS,1,6,0,40,100,0,0,0
GROWTH_BEHAVIOR,1,6,0,40,100,0,0,0
BEHAVIOR_CORRECTION,1,6,0,39,100,0,0,0
TEAM_MANAGEMENT,1,6,0,40,100,0,0,0
COGNITIVE_SELF,1,6,0,50,100,0,0,0
BEHAVIORAL_AWARENESS,1,6,0,250,100,0,0,0
GROWTH_MEASUREMENT,1,6,0,40,100,0,0,0
GROWTH_TRACKING,1,6,0,40,100,0,0,0
GROWTH_RECOGNITION,1,6,0,40,100,0,0,0
ADAPTIVE_REFLECTION,1,6,0,40,100,0,0,0
BALANCED_REFLECTION,1,6,0,40,100,0,0,0
REFLECTIVE_SYSTEMS,1,6,0,40,100,0,0,0
LEARNING_DEPENDENCY,1,5,0,100,100,0,0,1
PARENT_SCHOOL,1,5,0,0,100,100,100,0
CAREER_EXPOSURE,1,5,0,50,100,0,0,1
CAREER_SUITABILITY,1,5,0,40,100,0,0,1
EMOTIONAL_LEADERSHIP,1,5,0,25,100,0,0,1
SELF_EXPRESSION,1,5,0,40,100,0,0,1
CAREER_AUTONOMY,1,5,0,25,100,0,0,1
SELF_PROGRESS,1,5,0,40,100,0,0,1
SELF_EVALUATION,1,5,0,25,100,0,0,1
SELF_OBSERVATION,1,5,0,40,100,0,0,1
HABIT_DEVELOPMENT,1,5,0,40,100,0,0,1
SELF_ACCEPTANCE,1,5,0,50,100,0,0,1
LEADERSHIP_TRANSITION,3,4,0,70,100,100,100,0
FACULTY_EFFECTIVENESS,3,4,0,50,100,66.7,66.7,0
FACULTY_SUSTAINABILITY,3,4,0,40,100,100,100,0
HELP_SEEKING,3,4,0,25,100,66.7,66.7,0
TEACHING_QUALITY,2,4,0,40,100,50,50,0
STUDENT_RISK,2,4,0,40,100,50,50,0
STUDENT_PSYCHOLOGY,2,4,0,40,100,100,100,0
PERSONAL_INSIGHT,2,4,0,40,100,100,100,0
LONG_TERM,2,4,0,275,100,50,50,0
REFLECTIVE_DEVELOPMENT,2,4,0,25,100,50,50,0
SKILL_DEVELOPMENT,1,4,34,25,100,0,0,1
ASSESSMENT_INTELLIGENCE,1,4,0,75,100,100,100,0
STUDENT_SUCCESS,1,4,0,25,100,100,100,0
INTERVENTION_INTELLIGENCE,1,4,0,40,100,0,0,0
PLACEMENT_RISK,1,4,0,25,100,100,100,0
WORKPLACE_READINESS,1,4,0,25,100,100,100,0
PLACEMENT_OPERATIONS,1,4,0,40,100,0,0,0
ORGANIZATIONAL_INTELLIGENCE,1,4,0,40,100,100,100,0
