bridge_tag,concern_count,current_signal_count,tier3_links,question_count,candidate_signal_count,best_family,best_domain,best_similarity,evidence_strength,classification
CONFIDENCE_SELF,181,24,723,650,160,"academic_confidence_signals","Learning Intelligence",0.295,strong,ALREADY_GROUNDED
ACADEMIC_COGNITIVE,140,0,237,618,120,"learning_processing_signals","Cognitive Intelligence",0.2932,strong,GREEN
COMMUNICATION_EXPRESSION,137,17,399,150,160,"placement_confidence_signals","Career Intelligence",0.3229,strong,ALREADY_GROUNDED
MOTIVATION_VALUES,129,93,249,620,120,"learning_consistency_signals","Learning Intelligence",0.2748,strong,ALREADY_GROUNDED
EXAMINATION_STRESS,119,0,301,650,160,"learning_resilience_signals","Learning Intelligence",0.2667,strong,GREEN
LIFESTYLE_PRESSURE,116,116,172,450,120,"work_life_balance_signals","Wellbeing Intelligence",0.2776,strong,ALREADY_GROUNDED
DISCIPLINE_HABITS,103,631,163,925,120,"learning_consistency_signals","Learning Intelligence",0.3579,strong,ALREADY_GROUNDED
EMOTIONAL_REGULATION,96,13,265,1100,160,"workplace_resilience_signals","Employability Intelligence",0.24,strong,ALREADY_GROUNDED
THINKING_QUALITY,92,25,202,525,120,"employability_gap_signals","Employability Intelligence",0.2695,strong,ALREADY_GROUNDED
ACADEMIC_IDENTITY,87,0,190,225,100,"direction_signals","Career Intelligence",0.2903,strong,GREEN
SOCIAL_EMOTIONAL,81,144,249,825,200,"professional_confidence_signals","Career Intelligence",0.2677,strong,ALREADY_GROUNDED
LEADERSHIP_OWNERSHIP,80,0,174,400,200,"professional_confidence_signals","Career Intelligence",0.2914,strong,GREEN
CAREER_READINESS,72,1603,227,1000,140,"employability_signals","Career Intelligence",0.3989,strong,ALREADY_GROUNDED
EXAMINATION_READINESS,54,0,109,50,120,"academic_confidence_signals","Learning Intelligence",0.2727,strong,GREEN
EMOTIONAL_RECOVERY,52,0,181,800,160,"career_resilience_signals","Career Intelligence",0.2811,strong,GREEN
COMPETENCY_DEVELOPMENT,52,0,92,1014,120,"practical_transition_signals","Career Intelligence",0.2933,strong,GREEN
EMPLOYABILITY,46,0,134,1150,140,"industry_alignment_signals","Employability Intelligence",0.3866,strong,GREEN
HOLISTIC_DEVELOPMENT,46,0,82,600,160,"professional_confidence_signals","Career Intelligence",0.3107,strong,GREEN
WORKPLACE_ADAPTATION,46,0,115,682,160,"workplace_readiness_signals","Career Intelligence",0.2989,strong,GREEN
ADJUSTMENT_COPING,43,3286,86,565,160,"career_transition_signals","Employability Intelligence",0.2088,moderate,ALREADY_GROUNDED
COLLABORATION_OWNERSHIP,43,0,99,250,120,"collaboration_for_workplace_signals","Employability Intelligence",0.3011,strong,GREEN
STRATEGIC_PREPARATION,35,0,67,500,120,"industry_awareness_signals","Career Intelligence",0.2513,strong,GREEN
CAREER_GROWTH,35,0,88,675,200,"professional_confidence_signals","Career Intelligence",0.225,strong,GREEN
STRATEGIC_LEADERSHIP,33,0,72,75,200,"strategic_thinking_signals","Cognitive Intelligence",0.2227,strong,GREEN
SELF_REFLECTION,32,0,51,305,120,"reflective_learning_signals","Learning Intelligence",0.2416,strong,GREEN
LEARNING_ADAPTABILITY,25,0,47,400,120,"academic_confidence_signals","Learning Intelligence",0.2131,moderate,YELLOW
LEADERSHIP_READINESS,24,0,58,25,160,"professional_confidence_signals","Career Intelligence",0.2015,moderate,YELLOW
CLASSROOM_ENGAGEMENT,16,0,34,75,120,"learning_engagement_signals","Learning Intelligence",0.2069,moderate,YELLOW
STEM_LEARNING,16,0,37,100,120,"academic_confidence_signals","Learning Intelligence",0.2627,strong,GREEN
FOUNDATIONAL_LEARNING,15,0,20,25,100,"conceptual_clarity_signals","Learning Intelligence",0.2979,strong,GREEN
CAREER_TRANSITION,10,0,32,25,120,"employability_signals","Career Intelligence",0.236,strong,GREEN
WORKPLACE_PERFORMANCE,9,0,11,25,160,"workplace_readiness_signals","Career Intelligence",0.2613,strong,GREEN
COMPETITIVE_EXAM,8,0,26,75,120,"academic_confidence_signals","Learning Intelligence",0.3257,strong,GREEN
ADAPTIVE_LEARNING,8,0,16,275,160,"workplace_readiness_signals","Career Intelligence",0.2257,strong,GREEN
INTERDISCIPLINARY_LEARNING,8,0,13,60,120,"comprehension_signals","Learning Intelligence",0.2073,moderate,YELLOW
EMPLOYABILITY_FUTURE,7,0,24,25,140,"employability_gap_signals","Employability Intelligence",0.3097,strong,GREEN
ACADEMIC_PERFORMANCE,6,0,10,225,120,"academic_confidence_signals","Learning Intelligence",0.2459,strong,GREEN
INQUIRY_CURIOSITY,5,0,9,50,120,"curiosity_signals","Creativity Intelligence",0.2817,strong,GREEN
ORGANIZATIONAL_DEVELOPMENT,4,0,8,100,120,"professional_competency_signals","Employability Intelligence",0.2057,moderate,YELLOW
ACADEMIC_RISK,4,0,7,100,120,"academic_confidence_signals","Learning Intelligence",0.273,strong,GREEN
ORGANIZATIONAL_EFFECTIVENESS,4,0,7,0,120,"academic_confidence_signals","Learning Intelligence",0.1417,moderate,YELLOW
CAREER_IDENTITY,4,0,12,75,100,"career_clarity_signals","Career Intelligence",0.3354,strong,GREEN
SELF_DISCOVERY,4,0,8,80,120,"personal_values_signals","Identity Intelligence",0.1632,moderate,YELLOW
SELF_EXPLORATION,4,0,5,25,120,"self_awareness_signals","Identity Intelligence",0.1837,moderate,YELLOW
PERSONAL_DEVELOPMENT,4,0,6,80,120,"growth_orientation_signals","Motivational Intelligence",0.1833,moderate,YELLOW
TRANSITION_CHANGE,4,0,9,0,120,"learning_resilience_signals","Learning Intelligence",0.2296,strong,GREEN
OVER_COMPLIANCE,4,0,8,25,120,"emotional_suppression_signals","Emotional Intelligence",0.3307,strong,GREEN
ACADEMIC_CAREER,3,0,9,225,100,"career_clarity_signals","Career Intelligence",0.2098,moderate,YELLOW
LEADERSHIP_TRANSITION,3,0,12,70,120,"belonging_signals","Social Intelligence",0.1495,moderate,YELLOW
COMPETENCY_INTELLIGENCE,3,0,3,50,120,"professional_competency_signals","Employability Intelligence",0.2076,moderate,YELLOW
FACULTY_EFFECTIVENESS,3,0,6,50,120,"recovery_quality_signals","Wellbeing Intelligence",0.1856,moderate,YELLOW
