concern_id,concern_name,concern_category,assigned,confidence,suggested
CONCERN_COL_2,Self-Directed Learning Skills,Self-Learning Deficit,Problem,0.92,Capability
CONCERN_ADJ_5,Career Direction Clarity,Career Direction Ambiguity,Problem,0.92,Capability
CONCERN_COM_8,Internship Readiness,Internship Preparedness Deficit,Problem,0.92,Capability
CONCERN_DIS_10,Resume Building Awareness,Resume Awareness Deficit,Problem,0.92,Capability
CONCERN_MOT_13,Building Industry-Relevant Skills,Industry Skill Gap,Problem,0.92,Capability
CONCERN_EMP_14,Networking and Relationship Building Skills,Networking Weakness,Problem,0.92,Capability
CONCERN_ACA_16,Interview Preparation Discipline,Interview Discipline Weakness,Problem,0.92,Capability
CONCERN_EMP_21,Building Consistent Learning Habits in College,College Learning Discipline Weakness,Problem,0.92,Capability
CONCERN_EXA_24,Presentation Skills During Seminars,Presentation Anxiety,Problem,0.92,Capability
CONCERN_COM_25,Building a Strong LinkedIn/Profile Presence,Professional Identity Visibility Weakness,Problem,0.92,Capability
CONCERN_CAR_26,Adaptability During Internships,Internship Adaptability Weakness,Problem,0.92,Capability
CONCERN_EMP_31,Building Long-Term Career Vision,Long-Term Career Ambiguity,Problem,0.92,Capability
CONCERN_CAR_32,Ownership of Skill Development,Skill Development Dependency,Trait,0.92,Capability
CONCERN_COM_35,Consistency in Skill Practice,Skill Practice Inconsistency,Problem,0.92,Capability
CONCERN_EXA_37,Building Independent Decision-Making Skills,Independent Judgment Weakness,Problem,0.92,Capability
CONCERN_THI_38,Academic-to-Professional Transition Readiness,Academic-Professional Transition Gap,Problem,0.92,Capability
CONCERN_CAR_39,Building Leadership Confidence in Campus Activities,Leadership Confidence Weakness,Problem,0.92,Capability
CONCERN_COM_43,Multiple Skill Certifications,Certification Overload,Problem,0.92,Capability
CONCERN_DIS_44,Adaptability to Hybrid/Remote Work Environments,Hybrid Work Adaptability Weakness,Problem,0.92,Capability
CONCERN_THI_47,Building Professional Discipline Without Supervision,Professional Discipline Weakness,Problem,0.92,Capability
CONCERN_LIF_50,Industry Awareness About Emerging Careers,Emerging Career Awareness Deficit,Problem,0.92,Capability
CONCERN_CAR_51,Building Portfolio-Based Career Profiles,Portfolio Development Weakness,Problem,0.92,Capability
CONCERN_CAR_52,Emotional Resilience After Internship Rejections,Internship Rejection Sensitivity,Trait,0.92,Capability
CONCERN_EXA_53,Building Long-Term Professional Consistency,Professional Consistency Weakness,Problem,0.92,Capability
CONCERN_ADJ_56,Workplace Problem Prioritization Skills,Workplace Prioritization Weakness,Problem,0.92,Capability
CONCERN_CON_59,Building Entrepreneurial Confidence,Entrepreneurial Confidence Weakness,Problem,0.92,Capability
CONCERN_EMP_61,Building Consistent Professional Learning Habits,Professional Learning Inconsistency,Problem,0.92,Capability
CONCERN_EXA_63,Building Practical Team Collaboration in Projects,Team Collaboration Weakness,Problem,0.92,Capability
CONCERN_EXA_66,Professional Writing Skills,Workplace Writing Weakness,Problem,0.92,Capability
CONCERN_EMP_69,Building Consistent Coding Discipline,Coding Consistency Weakness,Problem,0.92,Capability
CONCERN_DIS_70,Adaptability to Rapidly Changing Industry Trends,Industry Change Adaptability Weakness,Problem,0.92,Capability
CONCERN_CAR_71,Building Emotional Independence from Peer Success,Peer Success Comparison Anxiety,Problem,0.92,Capability
CONCERN_EXA_75,Building Professional Confidence Without Validation,External Validation Dependency,Trait,0.92,Capability
CONCERN_CAR_77,Building Structured Career Preparation Plans,Career Preparation Structure Weakness,Problem,0.92,Capability
CONCERN_ACA_81,Building Confidence for Higher Studies Abroad,International Education Anxiety,Problem,0.92,Capability
CONCERN_EXA_86,Strategic Planning for Career Milestones,Career Milestone Planning Weakness,Problem,0.92,Capability
CONCERN_CAR_87,Building Confidence in Workplace Decision-Making,Workplace Decision Anxiety,Problem,0.92,Capability
CONCERN_MOT_92,Career Adaptability During Industry Changes,Career Adaptability Weakness,Problem,0.92,Capability
CONCERN_CAR_93,Building Emotional Stability in Professional Rejections,Professional Rejection Sensitivity,Trait,0.92,Capability
CONCERN_THI_95,Building Long-Term Financial Career Awareness,Financial Career Planning Weakness,Problem,0.92,Capability
CONCERN_CAR_97,Learning Discipline in Online Courses,Online Learning Discipline Weakness,Problem,0.92,Capability
CONCERN_EMP_99,Building Emotional Independence During Career Delays,Career Delay Emotional Instability,Problem,0.92,Capability
CONCERN_EXA_100,Holistic Readiness for Professional Life Transition,Professional Life Readiness Gap,Problem,0.92,Capability
CONCERN_CON_106,Conceptual Clarity Despite Repeated Practice,Conceptual Understanding Deficit,Problem,0.92,Capability
CONCERN_EXA_114,Self-Discipline Without External Monitoring,Independent Discipline Weakness,Problem,0.92,Capability
CONCERN_CON_125,Building Structured Daily Study Plans,Daily Planning Weakness,Problem,0.92,Capability
CONCERN_CON_143,Consistent Mock Test Discipline,Mock Test Inconsistency,Problem,0.92,Capability
CONCERN_EXA_145,Building Confidence in Current Affairs Retention,Current Affairs Recall Weakness,Problem,0.92,Capability
CONCERN_THI_149,Building Long-Term Emotional Endurance,Long-Term Emotional Fatigue,Outcome,0.92,Capability
CONCERN_CON_158,Adaptability to Changing Exam Patterns,Exam Pattern Adaptability Weakness,Problem,0.92,Capability
CONCERN_THI_159,Building Consistent Mental Energy Throughout Preparation,Mental Energy Instability,Problem,0.92,Capability
CONCERN_EXA_170,Long-Term Planning for Competitive Preparation,Long-Term Preparation Weakness,Problem,0.92,Capability
CONCERN_ACA_175,Building Confidence in Personal Preparation Style,Preparation Style Insecurity,Problem,0.92,Capability
CONCERN_EXA_180,Sustain Competitive Discipline Without Motivation,Motivation-Dependent Discipline Weakness,Problem,0.92,Capability
CONCERN_EXA_185,Building Emotional Stability During Multiple Attempts,Multi-Attempt Emotional Fatigue,Outcome,0.92,Capability
CONCERN_CON_189,Building Confidence After Long Study Gaps,Restart Confidence Weakness,Problem,0.92,Capability
CONCERN_SOC_194,Personal Problem-Solving Ability,Independent Problem-Solving Anxiety,Problem,0.92,Capability
CONCERN_ACA_203,Understanding Personal Strengths for Career Choice,Strength Awareness Deficit,Problem,0.92,Capability
CONCERN_SEL_204,Awareness of Emerging Career Opportunities,Emerging Career Awareness Deficit,Problem,0.92,Capability
CONCERN_EXA_206,Long-Term Career Vision,Long-Term Career Ambiguity,Problem,0.92,Capability
CONCERN_CAR_208,Awareness of Career Requirements and Eligibility,Career Eligibility Knowledge Gap,Problem,0.92,Capability
CONCERN_CON_211,Understanding Future Industry Trends,Future Industry Awareness Weakness,Problem,0.92,Capability
CONCERN_THI_213,Building Career Motivation Without Clear Direction,Directionless Motivation Weakness,Problem,0.92,Capability
CONCERN_CON_216,Understanding of Real-World Career Expectations,Career Reality Awareness Deficit,Problem,0.92,Capability
