question_id,concern_id,response_type,composite,distinctiveness,diagnostic_power,signal_value,human_readability,behavioral_realism,options
Q_RECALL_001_020,RECALL_001,frequency,24,0,0,34,43,45,
Q_ENT_001_012_v2,ENT_001,frequency,24,0,0,34,43,45,
FAW_PROF_003,CONCERN_LEA_602,situational_fit,64,100,33.33333333333333,48,52,85,"Highly cyclical — deep bursts of focus followed by prolonged slumps | Reactive — constantly responding to urgent workspace demands instead of deep work | Anxious — focus is sustained entirely by high-pressure incoming deadlines | Avoidant — struggle immensely to initiate complex tasks, leading to major delays"
FAW_PROF_001,CONCERN_LEA_602,situational_fit,65,100,33.33333333333333,48,83,62,"Digital interruptions (Slack, emails, phone notifications) | Internal fatigue or burnout from prolonged screen time | Ambiguity around which task truly takes priority | Constant context-switching across different projects"
FAW_PROF_002,CONCERN_LEA_602,situational_fit,66,100,33.33333333333333,48,66,85,"Push through the fatigue, even if output quality drops | Step away completely to reset, risking timeline delays | Switch to lower-cognitive tasks like sorting emails | Procrastinate or browse non-work channels to escape the friction"
Q_UNCERT_001_018_v2,UNCERT_001,agreement,81,100,100,100,60,45,Freeze Completely ? Small Steps
Q_RES_001_019,RES_001,likelihood,86,100,100,70,100,60,Very Unlikely | Unlikely | Neutral | Likely | Very Likely
Q_LEARN_001_025_v3,LEARN_001,confidence,91,100,100,70,100,83,Very low | Low | Moderate | High | Very high
Q_CAREER_001_001,CAREER_001,decision_clarity,95,100,100,100,100,77,Completely Confused | Slightly Clear | Moderately Clear | Clear | Very Clear
Q_CAREER_001_008,CAREER_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_CAREER_001_010,CAREER_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_CAREER_001_013,CAREER_001,social_comfort,95,100,100,100,100,77,Very Uncomfortable | Uncomfortable | Neutral | Comfortable | Very Comfortable
Q_CAREER_001_016,CAREER_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_CAREER_001_021,CAREER_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_CAREER_001_022,CAREER_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_CAREER_001_023,CAREER_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_SKILL_001_004,SKILL_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_SKILL_001_009,SKILL_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_SKILL_001_010,SKILL_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_SKILL_001_016,SKILL_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_SKILL_001_021,SKILL_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_SKILL_001_022,SKILL_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_SKILL_001_023,SKILL_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_004,PLACE_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_009,PLACE_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_010,PLACE_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_016,PLACE_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_PLACE_001_021,PLACE_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_022,PLACE_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_023,PLACE_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PRACTICAL_001_004,PRACTICAL_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PRACTICAL_001_008,PRACTICAL_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PRACTICAL_001_009,PRACTICAL_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PRACTICAL_001_010,PRACTICAL_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PRACTICAL_001_016,PRACTICAL_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_PRACTICAL_001_021,PRACTICAL_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PRACTICAL_001_022,PRACTICAL_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PRACTICAL_001_023,PRACTICAL_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_004_v2,PLACE_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PLACE_001_009_v2,PLACE_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_010_v2,PLACE_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PLACE_001_013_v2,PLACE_001,social_comfort,95,100,100,100,100,77,Very Uncomfortable | Uncomfortable | Neutral | Comfortable | Very Comfortable
Q_PLACE_001_016_v2,PLACE_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_PLACE_001_021_v2,PLACE_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_022_v2,PLACE_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PLACE_001_023_v2,PLACE_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TRANSITION_001_004,TRANSITION_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TRANSITION_001_009,TRANSITION_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TRANSITION_001_010,TRANSITION_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TRANSITION_001_016,TRANSITION_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_TRANSITION_001_021,TRANSITION_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TRANSITION_001_022,TRANSITION_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TRANSITION_001_023,TRANSITION_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_INTERVIEW_001_004,INTERVIEW_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_INTERVIEW_001_009,INTERVIEW_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_INTERVIEW_001_010,INTERVIEW_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_INTERVIEW_001_016,INTERVIEW_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_INTERVIEW_001_021,INTERVIEW_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_INTERVIEW_001_022,INTERVIEW_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_INTERVIEW_001_023,INTERVIEW_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_BURNOUT_001_003,BURNOUT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_009,BURNOUT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_010,BURNOUT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_BURNOUT_001_016,BURNOUT_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_BURNOUT_001_021,BURNOUT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_BURNOUT_001_022,BURNOUT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_BURNOUT_001_023,BURNOUT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_WORK_001_004,WORK_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_WORK_001_009,WORK_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_WORK_001_010,WORK_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_WORK_001_016,WORK_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_WORK_001_021,WORK_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_WORK_001_022,WORK_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_WORK_001_023,WORK_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TRANS_001_004,TRANS_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TRANS_001_009,TRANS_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TRANS_001_010,TRANS_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TRANS_001_013,TRANS_001,social_comfort,95,100,100,100,100,77,Very Uncomfortable | Uncomfortable | Neutral | Comfortable | Very Comfortable
Q_TRANS_001_016,TRANS_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_TRANS_001_021,TRANS_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TRANS_001_022,TRANS_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TRANS_001_023,TRANS_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PREP_001_004,PREP_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_PREP_001_009,PREP_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PREP_001_010,PREP_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_PREP_001_016,PREP_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_PREP_001_021,PREP_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PREP_001_022,PREP_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_PREP_001_023,PREP_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TIME_001_004,TIME_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_TIME_001_008,TIME_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TIME_001_009,TIME_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TIME_001_010,TIME_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_TIME_001_016,TIME_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_TIME_001_021,TIME_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TIME_001_022,TIME_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_TIME_001_023,TIME_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_LEARN_001_023,LEARN_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_FAIL_001_004,FAIL_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_FAIL_001_009,FAIL_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_FAIL_001_010,FAIL_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_FAIL_001_016,FAIL_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_FAIL_001_021,FAIL_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_FAIL_001_022,FAIL_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_FAIL_001_023,FAIL_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_COMPARE_001_004,COMPARE_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_COMPARE_001_009,COMPARE_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_COMPARE_001_010,COMPARE_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_COMPARE_001_016,COMPARE_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_COMPARE_001_021,COMPARE_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_COMPARE_001_022,COMPARE_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_COMPARE_001_023,COMPARE_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_CONCEPT_001_004,CONCEPT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_CONCEPT_001_009,CONCEPT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_CONCEPT_001_010,CONCEPT_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_CONCEPT_001_016,CONCEPT_001,coping_effectiveness,95,100,100,100,100,77,Very Ineffective | Ineffective | Neutral | Effective | Very Effective
Q_CONCEPT_001_021,CONCEPT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_CONCEPT_001_022,CONCEPT_001,readiness,95,100,100,100,100,77,Not Ready | Slightly Ready | Somewhat Ready | Ready | Fully Ready
Q_CONCEPT_001_023,CONCEPT_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_FOCUS_001_004,FOCUS_001,agreement,95,100,100,100,100,77,Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree
Q_FOCUS_001_009,FOCUS_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
Q_FOCUS_001_010,FOCUS_001,intensity,95,100,100,100,100,77,Not at all | Slightly | Moderately | Strongly | Extremely
