No.	Domain	Weight	Subdomains (Weight within Domain %)	Strongest Subdomain Correlations
1	Academic & Cognitive Effectiveness	12%	Learning Efficiency (18%) • Conceptual Understanding (22%) • Working & Retrieval Memory (18%) • Sustained Attention (15%) • Learning Style (12%) • Processing Stability (15%)	Working Memory ↔ Stress Reactivity • Processing Stability ↔ Sleep Quality • Conceptual Understanding ↔ Metacognition
2	Thinking Quality Under Pressure	10%	Analytical Thinking (18%) • Decision Quality (15%) • Managing Complexity (15%) • Exam Strategy (20%) • Error Handling (17%) • Situational Judgment (15%)	Decision Quality ↔ Confidence Alignment • Error Handling ↔ Metacognition • Strategy ↔ Planning Realism
3	Exam Stress & Emotional Regulation	10%	Stress Reactivity (15%) • Emotional Regulation (15%) • Cognitive Control Under Stress (15%) • Execution Stability (15%) • Recovery Speed (10%) • Anticipatory Stress (10%) • Spillover Control (10%) • Emotional Insight (5%) • Regulation Flexibility (5%)	Stress Reactivity ↔ Working Memory • Execution Stability ↔ Competitive Readiness • Recovery Speed ↔ Planning Intelligence
4	Confidence, Self-Concept & Comparison	8%	Academic Self-Confidence (18%) • Confidence Stability (15%) • Self-Concept Clarity (12%) • Social Comparison Sensitivity (12%) • Fear of Evaluation (12%) • Attribution Style (15%) • External Validation Dependence (8%) • Self-Doubt Intrusion (4%) • Confidence–Performance Alignment (4%)	Fear of Evaluation ↔ Help-Seeking Hesitation • Confidence Alignment ↔ Decision Quality • Attribution Style ↔ Recovery After Setback
5	Adjustment & Coping Capacity	7%	Academic Adjustment (25%) • Emotional Adjustment (25%) • Social Adjustment (25%) • Family Adjustment (25%)	Family Adjustment ↔ Expectation Pressure • Emotional Adjustment ↔ Stress Reactivity
6	Social & Emotional Intelligence	5%	Emotional Regulation (35%) • Relationship Handling (35%) • Trust & Inclusion (30%)	Trust ↔ Help-Seeking • Relationship Handling ↔ Teacher Interaction
7	Discipline, Habits & Consistency	8%	Time Management (20%) • Accountability (20%) • Plan–Execution Alignment (25%) • Consistency (35%)	Consistency ↔ Planning Realism • Accountability ↔ Motivation • Plan–Execution ↔ Recovery Window
8	Communication & Expression	5%	Listening (30%) • Expression (30%) • Conflict Handling (20%) • Instruction Comprehension (20%)	Instruction Comprehension ↔ Conceptual Understanding • Listening ↔ Teacher Interaction
9	Motivation, Values & Responsibility	6%	Drive (20%) • Commitment Stability (20%) • Integrity (15%) • Ownership Pattern (20%) • Effort Persistence (25%)	Effort Persistence ↔ Discipline • Ownership ↔ Attribution Style • Drive ↔ Academic Identity
10	Lifestyle & Pressure Environment	5%	Digital Distraction (35%) • Sleep Quality (30%) • Expectation Pressure (35%)	Sleep ↔ Processing Stability • Expectation Pressure ↔ Over-Compliance Risk • Digital Distraction ↔ Sustained Attention
11	Competitive Exam Readiness	5%	Performance Stability (30%) • Pressure Tolerance (25%) • Consistency (20%) • Performance Variance (15%) • Recovery Speed (10%)	Pressure Tolerance ↔ Stress Reactivity • Variance ↔ Processing Stability
12	Integrated Root Cause Mapping	—	AI Layer: Cross-domain clustering • Temporal weighting • Heat mapping • Human validation	Integrates all domain correlations to find the primary bottleneck in student performance.
13	Academic Planning & Recovery	7%	Planning Realism (20%) • Academic Prioritisation (15%) • Recovery Capacity (20%) • Strategy Correction (15%) • Execution Feasibility (15%) • 30–60 Day Recovery Window (15%)	Planning Realism ↔ Consistency • Recovery Capacity ↔ Attribution Style • Strategy Correction ↔ Error Handling
14	Metacognition & Self-Regulation	6%	Error Awareness (35%) • Strategy Switching (35%) • Self-Correction Timing (30%)	Error Awareness ↔ Processing Stability • Strategy Switching ↔ Complexity Handling
15	Help-Seeking & Support Utilization	4%	Help-Seeking Hesitation (40%) • Trust in Authority (30%) • Response to Guidance (30%)	Help Hesitation ↔ Fear of Evaluation • Trust ↔ Teacher Interaction
16	Academic Identity & Meaning	3%	Subject Relevance (35%) • Sense of Agency (35%) • Identity Alignment (30%)	Identity Alignment ↔ Drive • Agency ↔ Confidence Stability
17	Transition & Change Adaptability	3%	Flexibility (25%) • Uncertainty Tolerance (25%) • Adaptation Speed (25%) • Recovery Delay (25%)	Adaptation Speed ↔ Recovery Window • Uncertainty ↔ Stress Reactivity
18	Teacher–Student Interaction	2%	Authority Sensitivity (50%) • Feedback Responsiveness (50%)	Feedback Responsiveness ↔ Help-Seeking • Authority Sensitivity ↔ Fear of Evaluation
19	Over-Compliance Risk	2%	Obedience Under Pressure (50%) • Hidden Distress Masking (50%)	Hidden Distress ↔ Expectation Pressure • Obedience ↔ Confidence Stability
