bridge_tag,concern_count,signal_count,question_count,capability_cov_pct,problem_cov_pct,behavior_cov_pct,archetype_cov_pct,intervention_cov_pct,recommendation_present,intervention_construct_present,matched_construct,missing_layers
CONFIDENCE_SELF,181,24,650,26.5,26.5,100,89,89,0,0,,1
ACADEMIC_COGNITIVE,140,0,618,23.6,23.6,100,80,80,1,1,ACADEMIC_RECOVERY,1
COMMUNICATION_EXPRESSION,137,17,150,55.5,55.5,100,84.7,84.7,1,1,COMMUNICATION,0
MOTIVATION_VALUES,129,93,620,23.3,23.3,100,90.7,90.7,0,0,,1
EXAMINATION_STRESS,119,0,650,10.1,10.1,100,88.2,88.2,0,0,,2
LIFESTYLE_PRESSURE,116,116,450,28.4,28.4,100,70.7,70.7,0,0,,1
DISCIPLINE_HABITS,103,631,925,59.2,59.2,100,89.3,89.3,0,1,DISCIPLINE_HABITS,1
EMOTIONAL_REGULATION,96,13,1100,10.4,10.4,100,95.8,95.8,1,1,EMOTIONAL_REGULATION,0
THINKING_QUALITY,92,25,525,48.9,48.9,100,84.8,84.8,0,0,,1
ACADEMIC_IDENTITY,87,0,225,29.9,29.9,100,97.7,97.7,1,1,ACADEMIC_RECOVERY,1
SOCIAL_EMOTIONAL,81,144,825,34.6,34.6,100,90.1,90.1,1,1,SOCIAL_CONFIDENCE,0
LEADERSHIP_OWNERSHIP,80,0,400,60,60,100,91.3,91.3,0,0,,2
CAREER_READINESS,72,1603,1000,69.4,69.4,100,86.1,86.1,1,1,CAREER_GROWTH,0
EXAMINATION_READINESS,54,0,50,29.6,29.6,100,83.3,83.3,0,0,,2
EMOTIONAL_RECOVERY,52,0,800,11.5,11.5,100,98.1,98.1,1,1,EMOTIONAL_REGULATION,1
COMPETENCY_DEVELOPMENT,52,0,1014,63.5,63.5,100,71.2,71.2,0,0,,2
EMPLOYABILITY,46,0,1150,50,50,100,87,87,0,0,,2
HOLISTIC_DEVELOPMENT,46,0,600,21.7,21.7,100,84.8,84.8,0,0,,2
WORKPLACE_ADAPTATION,46,0,682,47.8,47.8,100,91.3,91.3,0,0,,2
ADJUSTMENT_COPING,43,3286,565,7,7,100,67.4,67.4,0,1,ADJUSTMENT_COPING,1
COLLABORATION_OWNERSHIP,43,0,250,74.4,74.4,100,95.3,95.3,0,0,,2
STRATEGIC_PREPARATION,35,0,500,77.1,77.1,100,91.4,91.4,0,0,,2
CAREER_GROWTH,35,0,675,54.3,54.3,100,91.4,91.4,1,1,CAREER_GROWTH,1
STRATEGIC_LEADERSHIP,33,0,75,69.7,69.7,100,100,100,0,0,,2
SELF_REFLECTION,32,0,305,50,50,100,81.3,81.3,1,1,SELF_ESTEEM,1
LEARNING_ADAPTABILITY,25,0,400,4,4,100,92,92,1,1,LEARNING_DRIVE,1
LEADERSHIP_READINESS,24,0,25,75,75,100,91.7,91.7,0,0,,2
CLASSROOM_ENGAGEMENT,16,0,75,37.5,37.5,100,75,75,0,0,,2
STEM_LEARNING,16,0,100,37.5,37.5,100,87.5,87.5,0,0,,2
FOUNDATIONAL_LEARNING,15,0,25,53.3,53.3,100,80,80,0,0,,2
CAREER_TRANSITION,10,0,25,20,20,100,50,50,1,1,CAREER_GROWTH,1
WORKPLACE_PERFORMANCE,9,0,25,44.4,44.4,100,100,100,0,0,,2
COMPETITIVE_EXAM,8,0,75,50,50,100,75,75,0,0,,2
ADAPTIVE_LEARNING,8,0,275,25,25,100,100,100,0,0,,2
INTERDISCIPLINARY_LEARNING,8,0,60,50,50,100,100,100,0,0,,2
EMPLOYABILITY_FUTURE,7,0,25,14.3,14.3,100,28.6,28.6,0,0,,2
ACADEMIC_PERFORMANCE,6,0,225,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
INQUIRY_CURIOSITY,5,0,50,20,20,100,100,100,0,0,,2
ORGANIZATIONAL_DEVELOPMENT,4,0,100,50,50,100,75,75,0,0,,2
ACADEMIC_RISK,4,0,100,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
ORGANIZATIONAL_EFFECTIVENESS,4,0,0,75,75,100,75,75,0,0,,3
CAREER_IDENTITY,4,0,75,25,25,100,100,100,1,1,CAREER_GROWTH,1
SELF_DISCOVERY,4,0,80,25,25,100,50,50,1,1,SELF_ESTEEM,1
SELF_EXPLORATION,4,0,25,75,75,100,75,75,1,1,SELF_ESTEEM,1
PERSONAL_DEVELOPMENT,4,0,80,25,25,100,75,75,0,0,,2
TRANSITION_CHANGE,4,0,0,25,25,100,75,75,0,0,,3
OVER_COMPLIANCE,4,0,25,25,25,100,100,100,0,0,,2
ACADEMIC_CAREER,3,0,225,0,0,100,66.7,66.7,1,1,ACADEMIC_RECOVERY,3
LEADERSHIP_TRANSITION,3,0,70,0,0,100,100,100,0,0,,4
COMPETENCY_INTELLIGENCE,3,0,50,66.7,66.7,100,66.7,66.7,0,0,,2
FACULTY_EFFECTIVENESS,3,0,50,0,0,100,66.7,66.7,0,0,,4
FACULTY_DEVELOPMENT,3,0,75,66.7,66.7,100,100,100,0,0,,2
FACULTY_SUSTAINABILITY,3,0,40,0,0,100,100,100,0,0,,4
ACADEMIC_PLANNING,3,0,50,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
ACADEMIC_TRANSITION,3,0,100,66.7,66.7,100,100,100,1,1,ACADEMIC_RECOVERY,1
CAREER_DECISION,3,0,40,0,0,100,100,100,1,1,CAREER_GROWTH,3
EMOTIONAL_DEVELOPMENT,3,0,80,0,0,100,100,100,1,1,EMOTIONAL_REGULATION,3
PERSONAL_EFFECTIVENESS,3,0,40,33.3,33.3,100,100,100,0,0,,2
EMOTIONAL_REFLECTION,3,0,70,33.3,33.3,100,100,100,1,1,EMOTIONAL_REGULATION,1
ANALYTICAL_DEVELOPMENT,3,0,50,66.7,66.7,100,100,100,0,0,,2
HELP_SEEKING,3,0,25,0,0,100,66.7,66.7,0,0,,4
FINANCIAL_READINESS,2,0,40,100,100,100,100,100,0,0,,2
CAREER_PLANNING,2,0,25,100,100,100,100,100,1,1,CAREER_GROWTH,1
TEACHING_QUALITY,2,0,40,0,0,100,50,50,0,0,,4
TALENT_IDENTIFICATION,2,0,40,100,100,100,50,50,0,0,,2
STUDENT_ENGAGEMENT,2,0,40,100,100,100,100,100,0,0,,2
ACADEMIC_OPERATIONS,2,0,38,100,100,100,100,100,1,1,ACADEMIC_RECOVERY,1
LEARNING_QUALITY,2,0,50,100,100,100,100,100,1,1,LEARNING_DRIVE,1
ACADEMIC_GROWTH,2,0,125,0,0,100,100,100,1,1,ACADEMIC_RECOVERY,3
STUDENT_RISK,2,0,40,0,0,100,50,50,0,0,,4
BEHAVIORAL_STABILITY,2,0,50,0,0,100,0,0,0,0,,6
CAREER_BRANDING,2,0,36,50,50,100,0,0,1,1,CAREER_GROWTH,3
EMPLOYABILITY_DEVELOPMENT,2,0,40,50,50,100,100,100,0,0,,2
CAREER_SUSTAINABILITY,2,0,40,50,50,100,100,100,1,1,CAREER_GROWTH,1
STUDENT_WELLNESS,2,0,40,50,50,100,100,100,0,0,,2
STUDENT_BEHAVIOUR,2,0,25,50,50,100,100,100,0,0,,2
STUDENT_PSYCHOLOGY,2,0,40,0,0,100,100,100,0,0,,4
CAREER_ALIGNMENT,2,0,50,0,0,100,50,50,1,1,CAREER_GROWTH,3
CAREER_PREPAREDNESS,2,0,25,50,50,100,100,100,1,1,CAREER_GROWTH,1
ALTERNATIVE_CAREER,2,0,40,50,50,100,100,100,0,0,,2
CAREER_EXECUTION,2,0,25,50,50,100,100,100,1,1,CAREER_GROWTH,1
