question_id,concern_id,bridge_tag,composite,relevance,grammar,sophistication,personalization,information_gain,root_cause_utility,question_text
Q_RECALL_001_020,RECALL_001,ACADEMIC_COGNITIVE,43,35,85,44,20,8,68,How
Q_ENT_001_012_v2,ENT_001,WORKPLACE_ADAPTATION,56,41,85,68,65,8,68,How often do you replay past mistakes
Q_LEARN_001_023,LEARN_001,LEARNING_ADAPTABILITY,64,35,100,76,20,100,53,Should grades include practical application ability?
Q_CONFPRO_001_006,CONFPRO_001,CONFIDENCE_SELF,65,35,100,90,10,100,53,How stressful is it to compete with people who already have years of experience?
Q_RESULTPRESS_001_006,RESULTPRESS_001,EXAMINATION_STRESS,66,35,100,90,20,100,53,How stressful does waiting for important results feel emotionally?
Q_UNEMP_001_006,UNEMP_001,EMPLOYABILITY,66,35,100,90,20,100,53,How emotionally exhausting is the process of repeatedly applying for jobs?
Q_ADAPT_001_006,ADAPT_001,LEARNING_ADAPTABILITY,66,35,100,90,20,100,53,How emotionally draining does it feel to constantly keep up with new skills and expectations?
Q_LEAD_001_006,LEAD_001,LEADERSHIP_OWNERSHIP,66,35,100,90,20,100,53,How stressful does it feel to be responsible for the performance of others?
Q_ENTERPRISE_001_006,ENTERPRISE_001,WORKPLACE_ADAPTATION,66,35,100,90,20,100,53,How emotionally stressful does it feel to think about managing large-scale organizational responsibilities?
Q_CULT_001_003,CULT_001,WORKPLACE_ADAPTATION,66,35,100,90,20,100,53,How common is it for students to work on real projects outside of classroom requirements?
Q_CULT_001_021,CULT_001,WORKPLACE_ADAPTATION,66,35,100,90,20,100,53,How willing are students to invest extra time in skill development beyond classes?
Q_MEM_001_009,MEM_001,ACADEMIC_COGNITIVE,66,35,100,90,20,100,53,How often do teachers emphasize important questions instead of concepts?
Q_MEM_001_014,MEM_001,ACADEMIC_COGNITIVE,66,35,100,90,20,100,53,How often do exams include questions that require real problem-solving?
Q_MEM_001_022,MEM_001,ACADEMIC_COGNITIVE,66,35,100,90,20,100,53,How often do assignments feel like repetition of textbook content?
Q_CURR_001_010,CURR_001,COMPETENCY_INTELLIGENCE,66,35,100,90,20,100,53,How different is classroom learning from real workplace tasks?
Q_EMO_001_006_v5,EMO_001,EMOTIONAL_REGULATION,66,35,100,90,20,100,53,How often does learning pressure lead to anxiety or stress reactions?
Q_LEADRESP_001_006,LEADRESP_001,LEADERSHIP_OWNERSHIP,66,35,100,90,20,100,53,How emotionally draining does it feel to carry responsibility for outcomes that depend on others as well?
Q_LEADER_001_009,LEADER_001,LEADERSHIP_OWNERSHIP,66,35,100,90,20,100,53,How strongly do expectations from others make it difficult to emotionally recharge?
Q_OBSOLETE_001_006,OBSOLETE_001,COMPETENCY_DEVELOPMENT,66,35,100,90,20,100,53,How emotionally exhausting does it feel to constantly keep up with changing technologies and trends?
Q_REJECTION_001_006,REJECTION_001,EMOTIONAL_RECOVERY,66,35,100,90,20,100,53,How emotionally draining does it feel to repeatedly put in effort and still face rejection?
Q_CRS_001_006,CRS_001,LONG_TERM,66,35,100,90,20,100,53,How stressful does it feel to think about constantly adapting to changing industries and technologies?
Q_SKILL_001_006,SKILL_001,COMPETENCY_DEVELOPMENT,68,35,100,90,30,100,53,How stressful does it feel when people talk about competition and employability?
Q_PREP_001_010,PREP_001,STRATEGIC_PREPARATION,68,35,100,100,20,100,53,"Compared to last year, how much more difficult does staying consistent feel now?"
Q_CONCEPT_001_010,CONCEPT_001,ACADEMIC_COGNITIVE,68,35,100,100,20,100,53,"Compared to last year, how much more difficult does understanding complex concepts feel now?"
Q_HOL_001_006,HOL_001,HOLISTIC_DEVELOPMENT,68,35,100,100,20,100,53,"How stressful does it feel to manage expectations related to career, finances, learning, and personal life all at once?"
Q_RESPONSIBILITY_001_010,RESPONSIBILITY_001,LEADERSHIP_OWNERSHIP,68,35,100,100,20,100,53,"Compared to earlier, how difficult has it become to emotionally manage responsibilities without feeling exhausted?"
Q_CULT_001_010,CULT_001,WORKPLACE_ADAPTATION,68,35,100,100,20,100,53,"How supportive are teachers in encouraging practical, industry-related learning?"
Q_CULT_001_013,CULT_001,WORKPLACE_ADAPTATION,68,35,100,85,20,100,68,"How often do students build portfolios (GitHub, design work, resumes, etc.)?"
Q_CULT_001_018,CULT_001,WORKPLACE_ADAPTATION,68,35,100,100,20,100,53,"How much do students compete in skills (coding, design, speaking) rather than just marks?"
Q_CURR_001_010_v2,CURR_001,COMPETENCY_INTELLIGENCE,68,35,100,100,20,100,53,"Compared to earlier, how difficult has it become to stay attentive and engaged in classes?"
Q_RES_001_016_v2,RES_001,EMOTIONAL_RECOVERY,68,35,100,90,30,100,53,How easily do negative thoughts take over during competition?
Q_RES_001_016_v3,RES_001,EMOTIONAL_RECOVERY,68,35,100,90,30,100,53,How easily do negative thoughts take over during competition?
Q_ACA_PLAC_010,ACA_PLAC_001,ACADEMIC_COGNITIVE,68,35,100,100,20,100,53,"Compared to last semester, how much harder is it to manage academics and placements now?"
Q_PANIC_001_010_v2,PANIC_001,EMOTIONAL_REGULATION,68,35,100,100,20,100,53,"Compared to earlier, how difficult has it become to think rationally under pressure?"
Q_COMPETITION_001_010,COMPETITION_001,COMPETENCY_DEVELOPMENT,68,35,100,100,20,100,53,"Compared to earlier, how difficult has it become to stay confident in competitive environments?"
Q_RESTART_001_010,RESTART_001,CAREER_GROWTH,68,35,100,100,20,100,53,"Compared to earlier, how difficult has it become to emotionally accept temporary setbacks or restarts?"
Q_WORK_001_011_v3,WORK_001,WORKPLACE_ADAPTATION,69,35,100,90,20,100,68,How often do distractions lead to inconsistent work output?
Q_CULT_001_008,CULT_001,WORKPLACE_ADAPTATION,69,35,100,90,20,100,68,How likely are students to collaborate on learning outside exams or assignments?
Q_CULT_001_011,CULT_001,WORKPLACE_ADAPTATION,69,35,100,90,20,100,68,How often do students share internships or project experiences with each other?
Q_CULT_001_015,CULT_001,WORKPLACE_ADAPTATION,69,35,100,90,20,100,68,How often do students take initiative to learn outside syllabus topics?
Q_CULT_001_016,CULT_001,WORKPLACE_ADAPTATION,69,35,100,90,20,100,68,How easy is it to find mentors or seniors helping with real-world skills?
Q_CULT_001_017,CULT_001,WORKPLACE_ADAPTATION,69,35,100,90,20,100,68,How often are group projects focused on real-world problem solving?
Q_CURR_001_014,CURR_001,COMPETENCY_INTELLIGENCE,69,35,100,90,20,100,68,How often do classmates say this is not useful for jobs about subjects?
Q_CURR_001_015,CURR_001,COMPETENCY_INTELLIGENCE,69,35,100,90,20,100,68,Do exams feel more focused on memory than understanding?
Q_CURR_001_017,CURR_001,COMPETENCY_INTELLIGENCE,69,35,100,90,20,100,68,How often do teachers explain real-world applications of concepts?
Q_MASTERY_001_006,MASTERY_001,COMPETENCY_DEVELOPMENT,69,60,100,90,10,100,53,How emotionally tiring does it feel to stay committed to one skill for a long period?
Q_LTR_001_015,LTR_001,LONG_TERM,69,35,100,90,20,100,68,Do industry trends feel difficult to keep up with?
Q_WORK_001_006,WORK_001,WORKPLACE_ADAPTATION,70,35,100,90,40,100,53,How stressful does it feel when companies expect practical experience beyond academics?
Q_CORP_001_008,CORP_001,WORKPLACE_ADAPTATION,70,35,100,90,40,100,53,How difficult does it feel to imagine maintaining strict schedules and deadlines regularly?
Q_STRATEGIC_001_006,STRATEGIC_001,STRATEGIC_PREPARATION,70,35,100,90,40,100,53,How emotionally stressful does it feel when making decisions that affect broader organizational outcomes?
Q_CPI_001_006,CPI_001,IDENTITY_INTEGRATION,70,35,100,90,40,100,53,How stressful does it feel to think about becoming successful while staying mentally healthy and authentic?
Q_CULT_001_004,CULT_001,WORKPLACE_ADAPTATION,70,35,100,100,30,100,53,"When someone learns a new skill, how often do peers appreciate or recognize it?"
Q_MOT_001_006,MOT_001,MOTIVATION_VALUES,70,35,100,90,40,100,53,How difficult does it feel to stay motivated when results are not immediate?
Q_COMPARE_001_010_v3,COMPARE_001,SOCIAL_EMOTIONAL,70,35,100,100,30,100,53,"Compared to earlier, how difficult has it become to stay confident when seeing others succeed?"
Q_COMPARE_001_010_v4,COMPARE_001,SOCIAL_EMOTIONAL,70,35,100,100,30,100,53,"Compared to earlier, how difficult has it become to stay confident when seeing others succeed?"
Q_COMPARE_001_010_v5,COMPARE_001,SOCIAL_EMOTIONAL,70,35,100,100,30,100,53,"Compared to earlier, how difficult has it become to stay confident when seeing others succeed?"
Q_FOF_001_006,FOF_001,EMOTIONAL_REGULATION,70,35,100,90,40,100,53,How stressful does it feel to think about failing in front of others while leading a team?
Q_OFFERDELAY_001_006,OFFERDELAY_001,EMPLOYABILITY,70,35,100,90,40,100,53,How emotionally exhausting is the waiting period after interviews or selection rounds?
Q_WU_001_006,WU_001,WORKPLACE_FIT,70,35,100,90,40,100,53,How stressful does it feel when deadlines are unclear or keep shifting?
FAW_PROF_003,CONCERN_LEA_602,ACADEMIC_COGNITIVE,70,66,100,90,65,44,53,What does your executive focus or workplace concentration style look like on an average day?
Q_PLACEMENT_001_006,PLACEMENT_001,EMPLOYABILITY,71,60,100,90,20,100,53,How emotionally stressful does placement preparation feel on a daily basis?
Q_FIRSTJOB_001_002,FIRSTJOB_001,EMPLOYABILITY,71,60,100,90,20,100,53,How often do thoughts about future workplace performance create stress or self-doubt?
