concern_id,concern_name,classification,confidence_score,reasoning,domain,concern_category
CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,Outcome,0.92,"concern_category ends in ""burnout"" → Outcome; label cue ""burnout"" → Outcome; label cue ""difficulty"" → Problem",Emotional Regulation,Long-Term Transition Burnout
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""skill"" → Capability; label cue ""skill"" → Capability",Competency Development,Cross-Industry Skill Mapping Weakness
CONCERN_ACA_1049,Emotional Reactions to Professional Identity Reset,Problem,0.92,"concern_category ends in ""stress"" → Problem; label cue ""difficulty"" → Problem",Academic Identity & Meaning,Professional Identity Reset Stress
CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; category token ""thinking"" → Capability; label cue ""confidence"" → Capability",Thinking Quality Under Pressure,Cross-Domain Thinking Anxiety
CONCERN_ACA_1062,Handling Workplace Criticism Constructively,Trait,0.92,"concern_category ends in ""sensitivity"" → Trait; label cue ""confidence"" → Capability",Emotional Regulation,Criticism Sensitivity
CONCERN_ACA_107,Mock Test Anxiety,Problem,0.92,"concern_category ends in ""instability"" → Problem; category token ""stress"" → Problem; label cue ""anxiety"" → Problem; label cue ""difficulty"" → Problem",Examination Stress & Emotional Regulation,Mock Test Stress Instability
CONCERN_ACA_1086,Build Strategic Visibility Within Organizations,Problem,0.92,"concern_category ends in ""weakness"" → Problem",Leadership & Ownership,Strategic Visibility Weakness
CONCERN_ACA_109,Balancing Multiple Subjects Simultaneously,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""difficulty"" → Problem","Discipline, Habits & Consistency",Multi-Subject Coordination Weakness
CONCERN_ACA_1108,Managing Difficult Professional Conversations,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; label cue ""confidence"" → Capability",Communication & Expression,Difficult Conversation Anxiety
CONCERN_ACA_112,Solving Advanced Problems,Problem,0.92,"concern_category ends in ""anxiety"" → Problem; label cue ""confidence"" → Capability","Confidence, Self-Concept & Comparison",Complex Problem Anxiety
CONCERN_ACA_1136,Build Long-Term Emotional Resilience,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""resilience"" → Capability; label cue ""resilience"" → Capability",Emotional Recovery,Emotional Resilience Weakness
CONCERN_ACA_1162,Visibility into Student Competency Distribution Across Grades,Problem,0.92,"concern_category ends in ""deficit"" → Problem; category token ""competency"" → Capability; label cue ""competency"" → Capability",Competency Intelligence,Competency Visibility Deficit
CONCERN_ACA_1168,Detect Emotional Burnout Across Students,Problem,0.92,"concern_category ends in ""blindness"" → Problem; label cue ""burnout"" → Outcome",Emotional Regulation,Institutional Emotional Blindness
CONCERN_ACA_1174,Visibility into Classroom Engagement Patterns,Problem,0.92,"concern_category ends in ""weakness"" → Problem",Student Engagement,Engagement Monitoring Weakness
CONCERN_ACA_1178,Measure Institutional Learning Effectiveness,Problem,0.92,"concern_category ends in ""blindness"" → Problem; category token ""effectiveness"" → Capability; label cue ""effectiveness"" → Capability",Organizational Effectiveness,Learning Effectiveness Blindness
CONCERN_ACA_1188,Measure Collaborative Competencies Institutionally,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""collaboration"" → Capability",Collaboration & Ownership,Collaboration Visibility Weakness
CONCERN_ACA_1194,Visibility into Future Career Readiness Across Students,Problem,0.92,"concern_category ends in ""deficit"" → Problem; label cue ""readiness"" → Capability",Employability & Future Skills,Career Visibility Deficit
CONCERN_ACA_1198,Visibility into Teacher Competency Growth Needs,Problem,0.92,"concern_category ends in ""weakness"" → Problem; label cue ""competency"" → Capability",Faculty Development,Teacher Development Visibility Weakness
CONCERN_ACA_1211,Holistic School Effectiveness Beyond Academic Results,Problem,0.92,"concern_category ends in ""blindness"" → Problem; category token ""effectiveness"" → Capability; label cue ""effectiveness"" → Capability; label cue ""difficulty"" → Problem",Organizational Effectiveness,Holistic Effectiveness Blindness
CONCERN_ACA_1217,Detecting Faculty Motivation Decline Early,Problem,0.92,"concern_category ends in ""blindness"" → Problem; label cue ""decline"" → Outcome; label cue ""difficulty"" → Problem",Faculty Sustainability,Faculty Motivation Blindness
CONCERN_ACA_1224,Measure Institutional Adaptability Readiness,Problem,0.92,"concern_category ends in ""weakness"" → Problem; category token ""adaptability"" → Capability; label cue ""adaptability"" → Capability; label cue ""readiness"" → Capability",Organizational Development,Organizational Adaptability Weakness
CONCERN_ACA_1232,Build Institutional Reflective Teaching Practices,Problem,0.92,"concern_category ends in ""weakness"" → Problem",Faculty Development,Reflective Teaching Weakness
CONCERN_ACA_1249,Faculty Emotional Wellbeing Institutionally,Problem,0.92,"concern_category ends in ""blindness"" → Problem; label cue ""difficulty"" → Problem",Faculty Sustainability,Faculty Emotional Blindness
