concern_id,concern_name,canonical_type,behavior_statement,behavior_category,frame_id,source,quality_total,accepted
CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,Outcome,feels drained and disengaged from {task},Emotional,burnout_drained,curated,19,true
CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,Outcome,reacts strongly to small setbacks,Emotional,mood_react,curated,19,true
CONCERN_ACA_1019,Emotional Burnout During Multi-Year Transitions,Outcome,shows visible discomfort during {task},Emotional,generic_Emotional,generic_fallback,10,false
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,Capability,repeats the same approach despite poor results,Learning,skill_plateau,curated,19,true
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,Capability,avoids learning new approaches to {task},Learning,generic_Learning,generic_fallback,10,false
CONCERN_ACA_1034,Evaluate Skill Relevance Across Industries,Capability,repeats the same mistakes with {task},Learning,generic_Learning,generic_fallback,10,false
CONCERN_ACA_1049,Emotional Reactions to Professional Identity Reset,Problem,feels unsure of where they fit at {setting},Career,identity_unsure,curated,19,true
CONCERN_ACA_1049,Emotional Reactions to Professional Identity Reset,Problem,reacts strongly to small setbacks,Emotional,mood_react,curated,19,true
CONCERN_ACA_1049,Emotional Reactions to Professional Identity Reset,Problem,avoids building professional relationships,Career,work_network,curated,19,true
CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,Capability,doubts their ability to handle {task},Emotional,conf_doubt,curated,19,true
CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,Capability,freezes when a problem has no obvious answer,Cognitive,think_stuck,curated,19,true
CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,Capability,shows visible discomfort during {task},Emotional,generic_Emotional,generic_fallback,10,false
CONCERN_ACA_1062,Handling Workplace Criticism Constructively,Capability,ignores feedback meant to improve {task},Learning,learn_feedback,curated,19,true
CONCERN_ACA_1062,Handling Workplace Criticism Constructively,Capability,struggles to make progress at {setting},Career,generic_Career,generic_fallback,10,false
CONCERN_ACA_1062,Handling Workplace Criticism Constructively,Capability,avoids tasks tied to career growth,Career,generic_Career,generic_fallback,10,false
CONCERN_ACA_107,Mock Test Anxiety,Problem,worries excessively before {evaluation},Emotional,anx_worry,curated,19,true
CONCERN_ACA_107,Mock Test Anxiety,Problem,crams the night before {evaluation},Academic,study_cram,curated,19,true
CONCERN_ACA_107,Mock Test Anxiety,Problem,shows visible discomfort during {task},Emotional,generic_Emotional,generic_fallback,10,false
CONCERN_ACA_1086,Build Strategic Visibility Within Organizations,Capability,lets their contributions go unnoticed at {setting},Career,work_visibility,curated,19,true
CONCERN_ACA_1086,Build Strategic Visibility Within Organizations,Capability,struggles to set direction for {peers},Leadership,lead_vision,curated,19,true
CONCERN_ACA_1086,Build Strategic Visibility Within Organizations,Capability,struggles to make progress at {setting},Career,generic_Career,generic_fallback,10,false
CONCERN_ACA_109,Balancing Multiple Subjects Simultaneously,Capability,avoids the hardest {task},Academic,academic_avoid,curated,19,true
CONCERN_ACA_109,Balancing Multiple Subjects Simultaneously,Capability,shows difficulty with {task},Academic,generic_Academic,generic_fallback,10,false
CONCERN_ACA_109,Balancing Multiple Subjects Simultaneously,Capability,avoids tasks related to {task},Academic,generic_Academic,generic_fallback,10,false
CONCERN_ACA_1108,Managing Difficult Professional Conversations,Capability,avoids building professional relationships,Career,work_network,curated,19,true
CONCERN_ACA_1108,Managing Difficult Professional Conversations,Capability,struggles to make progress at {setting},Career,generic_Career,generic_fallback,10,false
CONCERN_ACA_1108,Managing Difficult Professional Conversations,Capability,avoids tasks tied to career growth,Career,generic_Career,generic_fallback,10,false
CONCERN_ACA_112,Solving Advanced Problems,Capability,struggles to organize {task},Self-Management,generic_Self-Management,generic_fallback,10,false
CONCERN_ACA_112,Solving Advanced Problems,Capability,needs prompting to keep up with {task},Self-Management,generic_Self-Management,generic_fallback,10,false
CONCERN_ACA_112,Solving Advanced Problems,Capability,lets {task} slip without follow-through,Self-Management,generic_Self-Management,generic_fallback,10,false
CONCERN_ACA_1136,Build Long-Term Emotional Resilience,Trait,gives up after the first mistake,Learning,learn_giveup,curated,19,true
